window_id,session_id,num_frames,posture_shoulder_tilt_mean,posture_shoulder_tilt_std,posture_body_lean_mean,posture_body_lean_std,posture_head_height_mean,posture_head_height_std,posture_torso_height_mean,posture_torso_height_std,hands_left_height_mean,hands_right_height_mean,hands_spread_mean,hands_spread_std,hands_left_movement_mean,hands_right_movement_mean,hands_left_visible_ratio,hands_right_visible_ratio,sway_x_std,sway_y_std,sway_crossing_count,movement_path_length,movement_net_displacement,movement_displacement_ratio,posture_label,hands_label,sway_label,movement_label
20,0,90,0.0056009905205832485,0.004772386714497469,-0.1953373015292534,0.16350994989461257,0.1820183085070716,0.0032486931629352495,0.37412107470962735,0.0029191591455590836,0.28200625578562416,0.29444439378049636,0.10375992467423231,0.004073584875960187,0.0014350233535531673,0.0017378424716981244,0.0,0.0,0.0008147992735337325,0.0055992567435069664,2,0.03859137464909734,0.003968872225522762,0.10284083997447387,low,low,low,low
21,0,90,0.007014806071917219,0.004370878463464345,0.4044879161369241,0.4042224368282584,0.16886433611313503,0.00555508783241303,0.3720783483650949,0.0032475019486283684,0.28479776084423064,0.2912746197647519,0.09986210496828123,0.0034437018097862983,0.0004400294181060258,0.000564752472382272,0.0,0.0,0.0010669653170018185,0.0035961475849183027,1,0.024811509951939342,0.010396930338669272,0.4190196944528237,low,low,low,low
22,0,90,0.015150019857618548,0.0037392218079860358,0.7371828823543285,0.07763991120907206,0.1708352310789956,0.003548152227913446,0.3768510791990492,0.0025184700224865782,0.28361546165413326,0.2942099216911528,0.09190183920052569,0.004128786015954397,0.00044187912518198983,0.0005891653195573223,0.0,0.0,0.0004318861548892053,0.0026387966317237294,2,0.024153080573022324,0.004149571335213854,0.1717958720336682,low,low,low,low
23,0,90,0.013774210876888699,0.0016024387372596339,0.5719546008162808,0.07511550816716132,0.16977808872858682,0.0022099727439703603,0.37678911950853133,0.0017529175775600953,0.29015011588732403,0.3067499061425527,0.11486509027216028,0.005903327819403857,0.0005647584739177531,0.0007231266966601839,0.0,0.0,0.00029958251963361056,0.002356492903401182,4,0.028678072653856888,0.0037487826647361468,0.1307149192019636,low,low,low,low
24,0,90,0.010271637307273021,0.0022249235166134835,0.3499309107271865,0.11368775774248731,0.1768176957964897,0.0035549124705809352,0.38433213697539437,0.009558829489905121,0.28320072028372023,0.2947697493765089,0.09919794316904329,0.010305640661524593,0.0022414520481529626,0.0013254024898463578,0.0,0.0,0.0011924480074966674,0.018887417240533368,3,0.06951102211653758,0.054106811266021744,0.7783806256608555,low,low,low,low
25,0,90,0.002688739366001562,0.0037383863577843575,0.013678913866764019,0.26360445930117143,0.14227025757233303,0.01069238671935076,0.3755738985207346,0.00960794450382123,0.22132911152309842,0.21854592992199792,0.09953090817584569,0.006475981948402017,0.002768674916254675,0.001931780591190542,0.0,0.0,0.000789624298102632,0.002466031633592021,1,0.02659868120407445,0.008766969789332136,0.32958928049067143,low,low,low,low
26,0,90,0.0033546378215153993,0.002122702325053095,0.466651102425934,0.0689564367968157,0.13076179905070198,0.004283686502119442,0.3679430161913236,0.0029853776790304837,0.21298545400301616,0.21184959643416934,0.10364170788302572,0.003191809346833149,0.0012799953448377093,0.0009372094204886006,0.0,0.0,0.0008134417436895511,0.0012609063773074127,1,0.012980137895722176,0.003459058610253349,0.26646805835051274,low,low,low,low
27,0,90,0.0037351230780283628,0.0016977418752092569,0.1793139812075843,0.16297649690052046,0.16156483391920726,0.003455771908359114,0.3822076439857483,0.003315254337317663,0.2700588266054789,0.2769123136997223,0.09887623927892633,0.010095379595122689,0.003217389191266058,0.0014444122519027384,0.0,0.0,0.0017181977590587226,0.012923330590011111,1,0.052881625726589394,0.03415435470974366,0.645852096798795,low,low,low,low
28,0,90,-0.0008471041917800884,0.0018188233418021005,0.009625501587099156,0.10619248592590932,0.16867674870623484,0.0035627652103482972,0.3860686492588785,0.002522757338449265,0.2884412195947435,0.2915860523780187,0.10158149127784782,0.005811160433298428,0.000536378388809122,0.0005763079699955513,0.0,0.0,0.000354504884917852,0.0030637228654777533,4,0.016297267135445936,0.009132842939693681,0.5603566847810043,low,low,low,low
29,0,90,-0.0026741074191199347,0.001518443263636974,-0.11644215528866896,0.1040455874253895,0.16968938344054751,0.0028773679306349216,0.38872176011403403,0.0009013176053543928,0.2919232656558355,0.2911291218466229,0.10295391430882253,0.00518126180449315,0.00022093489514469147,0.00041208987842382617,0.0,0.0,0.000778345381698879,0.0016007342871210996,1,0.016779578432877827,0.006791740836317176,0.4047381836975455,low,low,low,low
30,0,90,0.005037851797209833,0.00276412282557428,0.5303481964174512,0.19261609058053802,0.17133908553255928,0.002316792326674892,0.37518359704150095,0.007480824602123619,0.2917836636304855,0.30057693322499596,0.10582357308815195,0.004339137596693591,0.0009454310760710365,0.0012362937942437563,0.0,0.0,0.0007227657357266167,0.01129354630816488,5,0.048867925733501176,0.029228593733046062,0.5981018263515653,low,low,low,low
31,0,90,0.004738413956430226,0.0013741740358569916,0.47780305881507945,0.08303752685335575,0.16602236661646103,0.001496738459892261,0.374720708363586,0.0011299549163844224,0.27698720263110266,0.2858340832922194,0.09909287624461507,0.005100532655014053,0.0004910219159946684,0.0006190693761180608,0.0,0.0,0.00030410366218003304,0.001561012350485277,2,0.015277213604690901,0.00492274850295229,0.32220707409411065,low,low,low,low
